comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Calosso,005015,Asti,8,6.43
Caltignaga,003030,Novara,8,3.18
Caluso,001047,Torino,42,5.57
Camagna Monferrato,006026,Alessandria,3,6.07
Camandona,096009,Biella,1,2.87
Cambiano,001048,Torino,55,9.2
Cambiasca,103015,Verbano-Cusio-Ossola,39,24.03
Camburzano,096010,Biella,10,8.67
Camerana,004035,Cuneo,2,3.37
Camerano Casasco,005016,Asti,1,2.26
Cameri,003032,Novara,50,4.61
Camino,006027,Alessandria,2,2.66
Campertogno,002025,Vercelli,3,12.77
Campiglia Cervo,096086,Biella,2,3.98
Campiglione Fenile,001049,Torino,6,4.47
Canale,004037,Cuneo,23,4.1
Candelo,096012,Biella,32,4.25
Candia Canavese,001050,Torino,9,7.31
Candiolo,001051,Torino,53,9.41
Canelli,005017,Asti,33,3.17
Canischio,001052,Torino,3,10.83
Cannero Riviera,103016,Verbano-Cusio-Ossola,13,14.29
Cannobio,103017,Verbano-Cusio-Ossola,54,10.55
Canosio,004038,Cuneo,0,0.0
Cantalupa,001053,Torino,16,6.11
Cantalupo Ligure,006028,Alessandria,4,8.4
Cantarana,005018,Asti,1,1.01
Cantoira,001054,Torino,5,8.68
Caprauna,004039,Cuneo,0,0.0
Caprezzo,103018,Verbano-Cusio-Ossola,2,11.83
Capriata D'Orba,006029,Alessandria,10,5.42
Caprie,001055,Torino,4,1.92
Capriglio,005019,Asti,0,0.0
Caprile,096013,Biella,1,5.26
Caraglio,004040,Cuneo,27,4.0
Caramagna Piemonte,004041,Cuneo,21,6.8
Caravino,001056,Torino,1,1.11
Carbonara Scrivia,006030,Alessandria,7,6.21
Carcoforo,002029,Vercelli,0,0.0
Carde',004042,Cuneo,3,2.62
Carema,001057,Torino,1,1.3
Carentino,006031,Alessandria,2,6.29
Caresana,002030,Vercelli,8,7.55
Caresanablot,002031,Vercelli,10,8.9
Carezzano,006032,Alessandria,2,4.55
Carignano,001058,Torino,76,8.19
Carisio,002032,Vercelli,6,7.44
Carmagnola,001059,Torino,159,5.49
Carpeneto,006033,Alessandria,4,4.22
Carpignano Sesia,003036,Novara,5,1.99
Carrega Ligure,006034,Alessandria,0,0.0
Carrosio,006035,Alessandria,2,4.0
Carru',004043,Cuneo,54,12.31
Cartignano,004044,Cuneo,1,5.75
Cartosio,006036,Alessandria,2,2.71
Casal Cermelli,006037,Alessandria,7,5.73
Casalbeltrame,003037,Novara,4,4.26
Casalborgone,001060,Torino,19,10.07
Casale Corte Cerro,103019,Verbano-Cusio-Ossola,15,4.33
Casale Monferrato,006039,Alessandria,184,5.46
Casaleggio Boiro,006038,Alessandria,3,7.85
Casaleggio Novara,003039,Novara,1,1.09
Casalgrasso,004045,Cuneo,11,7.65
Casalino,003040,Novara,9,5.9
Casalnoceto,006040,Alessandria,6,6.13
Casalvolone,003041,Novara,6,6.94
Casanova Elvo,002033,Vercelli,1,4.48
Casapinta,096014,Biella,1,2.39
Casasco,006041,Alessandria,0,0.0
Cascinette D'Ivrea,001061,Torino,18,11.91
Caselette,001062,Torino,14,4.62
Caselle Torinese,001063,Torino,102,7.31
Casorzo,005020,Asti,1,1.62
Cassano Spinola,006191,Alessandria,22,12.2
Cassinasco,005021,Asti,1,1.65
Cassine,006043,Alessandria,16,5.44
Cassinelle,006044,Alessandria,5,5.68
Castagneto Po,001064,Torino,16,8.98
Castagnito,004046,Cuneo,8,3.65
Castagnole Delle Lanze,005022,Asti,7,1.87
Castagnole Monferrato,005023,Asti,2,1.68
Castagnole Piemonte,001065,Torino,18,8.02
Castel Boglione,005024,Asti,3,4.93
Castel Rocchero,005032,Asti,0,0.0
Casteldelfino,004047,Cuneo,0,0.0
Castell'Alfero,005025,Asti,8,3.0
Castellamonte,001066,Torino,87,8.75
Castellania,006045,Alessandria,0,0.0
Castellar Guidobono,006046,Alessandria,4,10.05
Castellazzo Bormida,006047,Alessandria,26,5.74
Castellazzo Novarese,003042,Novara,1,3.13
Castellero,005026,Asti,1,3.45
Castelletto Cervo,096015,Biella,2,2.44
Castelletto D'Erro,006048,Alessandria,0,0.0
Castelletto D'Orba,006049,Alessandria,16,8.16
Castelletto Merli,006050,Alessandria,4,8.93
Castelletto Molina,005027,Asti,0,0.0
Castelletto Monferrato,006051,Alessandria,7,4.66
Castelletto Sopra Ticino,003043,Novara,53,5.35
Castelletto Stura,004049,Cuneo,10,7.25
Castelletto Uzzone,004050,Cuneo,0,0.0
Castellinaldo D'Alba,004051,Cuneo,1,1.08
Castellino Tanaro,004052,Cuneo,1,3.37
Castello Di Annone,005028,Asti,6,3.11
Castelmagno,004053,Cuneo,0,0.0
Castelnuovo Belbo,005029,Asti,1,1.18
Castelnuovo Bormida,006052,Alessandria,3,4.29
Castelnuovo Calcea,005030,Asti,0,0.0
Castelnuovo Di Ceva,004054,Cuneo,0,0.0
Castelnuovo Don Bosco,005031,Asti,43,13.58
Castelnuovo Nigra,001067,Torino,1,2.33
Castelnuovo Scrivia,006053,Alessandria,25,4.88
Castelspina,006054,Alessandria,1,2.38
Castiglione Falletto,004055,Cuneo,3,4.29
Castiglione Tinella,004056,Cuneo,5,6.03
Castiglione Torinese,001068,Torino,44,6.77
Castino,004057,Cuneo,0,0.0
Cavaglia',096016,Biella,11,3.03
Cavaglietto,003044,Novara,4,10.44
Cavaglio D'Agogna,003045,Novara,7,5.97
Cavagnolo,001069,Torino,19,9.23
Cavallerleone,004058,Cuneo,1,1.46
Cavallermaggiore,004059,Cuneo,12,2.21
Cavallirio,003047,Novara,5,3.72
Cavatore,006055,Alessandria,3,11.15
Cavour,001070,Torino,19,3.46
Cella Monte,006056,Alessandria,0,0.0
Cellarengo,005033,Asti,1,1.42
Celle Di Macra,004060,Cuneo,0,0.0
Celle Enomondo,005034,Asti,1,2.1
Cellio Con Breia,002171,Vercelli,4,4.08
Centallo,004061,Cuneo,32,4.56
Ceppo Morelli,103021,Verbano-Cusio-Ossola,2,6.73
Cerano,003049,Novara,35,5.17
Cercenasco,001071,Torino,10,5.53
Ceres,001072,Torino,1,0.96
Cereseto,006057,Alessandria,1,2.48
Ceresole Alba,004062,Cuneo,7,3.41
Ceresole Reale,001073,Torino,1,5.99
Cerreto D'Asti,005035,Asti,3,13.7
Cerreto Grue,006058,Alessandria,1,3.3
Cerretto Langhe,004063,Cuneo,5,11.63
Cerrina Monferrato,006059,Alessandria,12,8.84
Cerrione,096018,Biella,8,2.78
Cerro Tanaro,005036,Asti,0,0.0
Cervasca,004064,Cuneo,21,4.09
Cervatto,002041,Vercelli,1,17.24
Cervere,004065,Cuneo,8,3.54
Cesana Torinese,001074,Torino,6,6.36
Cesara,103022,Verbano-Cusio-Ossola,2,3.37
Cessole,005037,Asti,1,2.58
Ceva,004066,Cuneo,27,4.74
Cherasco,004067,Cuneo,40,4.31
Chialamberto,001075,Torino,1,2.72
Chianocco,001076,Torino,6,3.72
Chiaverano,001077,Torino,9,4.37
Chieri,001078,Torino,406,10.99
Chiesanuova,001079,Torino,3,12.88
Chiomonte,001080,Torino,3,3.38
Chiusa Di Pesio,004068,Cuneo,25,6.85
Chiusa Di San Michele,001081,Torino,12,7.4
