Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
1120,Grugliasco,Torino,250,6.65,37594,Dati aggiornati al 17.05.2022 ore 18:30
1121,Ingria,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1122,Inverso Pinasca,Torino,3,4.27,703,Dati aggiornati al 17.05.2022 ore 18:30
1123,Isolabella,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1124,Issiglio,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1125,Ivrea,Torino,171,7.29,23457,Dati aggiornati al 17.05.2022 ore 18:30
1126,La Cassa,Torino,9,4.99,1804,Dati aggiornati al 17.05.2022 ore 18:30
1127,La Loggia,Torino,66,7.46,8847,Dati aggiornati al 17.05.2022 ore 18:30
1128,Lanzo Torinese,Torino,31,6.18,5016,Dati aggiornati al 17.05.2022 ore 18:30
1129,Lauriano,Torino,9,6.27,1435,Dati aggiornati al 17.05.2022 ore 18:30
1130,Leini',Torino,83,5.04,16468,Dati aggiornati al 17.05.2022 ore 18:30
1131,Lemie,Torino,1,4.83,207,Dati aggiornati al 17.05.2022 ore 18:30
1132,Lessolo,Torino,15,8.24,1820,Dati aggiornati al 17.05.2022 ore 18:30
1133,Levone,Torino,4,9.05,442,Dati aggiornati al 17.05.2022 ore 18:30
1134,Locana,Torino,5,3.48,1437,Dati aggiornati al 17.05.2022 ore 18:30
1135,Lombardore,Torino,16,9.22,1735,Dati aggiornati al 17.05.2022 ore 18:30
1136,Lombriasco,Torino,3,2.87,1045,Dati aggiornati al 17.05.2022 ore 18:30
1137,Loranze',Torino,7,6.0,1167,Dati aggiornati al 17.05.2022 ore 18:30
1139,Luserna San Giovanni,Torino,27,3.73,7239,Dati aggiornati al 17.05.2022 ore 18:30
1140,Lusernetta,Torino,4,8.06,496,Dati aggiornati al 17.05.2022 ore 18:30
1141,Lusiglie',Torino,4,7.03,569,Dati aggiornati al 17.05.2022 ore 18:30
1142,Macello,Torino,2,1.71,1170,Dati aggiornati al 17.05.2022 ore 18:30
1143,Maglione,Torino,2,4.8,417,Dati aggiornati al 17.05.2022 ore 18:30
1316,Mappano,Torino,42,5.72,7343,Dati aggiornati al 17.05.2022 ore 18:30
1144,Marentino,Torino,18,13.78,1306,Dati aggiornati al 17.05.2022 ore 18:30
1145,Massello,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1146,Mathi,Torino,40,10.4,3846,Dati aggiornati al 17.05.2022 ore 18:30
1147,Mattie,Torino,4,5.98,669,Dati aggiornati al 17.05.2022 ore 18:30
1148,Mazze',Torino,22,5.31,4143,Dati aggiornati al 17.05.2022 ore 18:30
1149,Meana Di Susa,Torino,2,2.54,787,Dati aggiornati al 17.05.2022 ore 18:30
1150,Mercenasco,Torino,8,6.5,1231,Dati aggiornati al 17.05.2022 ore 18:30
1152,Mezzenile,Torino,4,5.02,797,Dati aggiornati al 17.05.2022 ore 18:30
1153,Mombello Di Torino,Torino,8,20.51,390,Dati aggiornati al 17.05.2022 ore 18:30
1154,Mompantero,Torino,4,6.16,649,Dati aggiornati al 17.05.2022 ore 18:30
1155,Monastero Di Lanzo,Torino,1,2.89,346,Dati aggiornati al 17.05.2022 ore 18:30
1156,Moncalieri,Torino,411,7.14,57563,Dati aggiornati al 17.05.2022 ore 18:30
1157,Moncenisio,Torino,1,28.57,35,Dati aggiornati al 17.05.2022 ore 18:30
1158,Montaldo Torinese,Torino,2,2.78,719,Dati aggiornati al 17.05.2022 ore 18:30
1159,Montalenghe,Torino,9,9.04,996,Dati aggiornati al 17.05.2022 ore 18:30
1160,Montalto Dora,Torino,25,7.35,3401,Dati aggiornati al 17.05.2022 ore 18:30
1161,Montanaro,Torino,17,3.28,5183,Dati aggiornati al 17.05.2022 ore 18:30
1162,Monteu Da Po,Torino,1,1.17,855,Dati aggiornati al 17.05.2022 ore 18:30
1163,Moriondo Torinese,Torino,7,8.3,843,Dati aggiornati al 17.05.2022 ore 18:30
1164,Nichelino,Torino,412,8.67,47520,Dati aggiornati al 17.05.2022 ore 18:30
1165,Noasca,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1166,Nole,Torino,38,5.57,6822,Dati aggiornati al 17.05.2022 ore 18:30
1167,Nomaglio,Torino,2,6.99,286,Dati aggiornati al 17.05.2022 ore 18:30
1168,None,Torino,89,11.09,8025,Dati aggiornati al 17.05.2022 ore 18:30
1169,Novalesa,Torino,6,11.15,538,Dati aggiornati al 17.05.2022 ore 18:30
1170,Oglianico,Torino,10,6.72,1488,Dati aggiornati al 17.05.2022 ore 18:30
1171,Orbassano,Torino,181,7.75,23355,Dati aggiornati al 17.05.2022 ore 18:30
1172,Orio Canavese,Torino,5,6.46,774,Dati aggiornati al 17.05.2022 ore 18:30
1173,Osasco,Torino,4,3.47,1153,Dati aggiornati al 17.05.2022 ore 18:30
1174,Osasio,Torino,3,3.27,917,Dati aggiornati al 17.05.2022 ore 18:30
1175,Oulx,Torino,13,3.86,3368,Dati aggiornati al 17.05.2022 ore 18:30
1176,Ozegna,Torino,6,4.89,1227,Dati aggiornati al 17.05.2022 ore 18:30
1177,Palazzo Canavese,Torino,2,2.39,837,Dati aggiornati al 17.05.2022 ore 18:30
1178,Pancalieri,Torino,7,3.35,2090,Dati aggiornati al 17.05.2022 ore 18:30
1179,Parella,Torino,2,4.65,430,Dati aggiornati al 17.05.2022 ore 18:30
1180,Pavarolo,Torino,23,20.26,1135,Dati aggiornati al 17.05.2022 ore 18:30
