Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
5100,San Marzano Oliveto,Asti,9,8.86,1016,Dati aggiornati al 31.03.2022 ore 18:30
5101,San Paolo Solbrito,Asti,3,2.51,1195,Dati aggiornati al 31.03.2022 ore 18:30
5103,Scurzolengo,Asti,2,3.67,545,Dati aggiornati al 31.03.2022 ore 18:30
5104,Serole,Asti,0,0.0,,Dati aggiornati al 31.03.2022 ore 18:30
5105,Sessame,Asti,1,3.8,263,Dati aggiornati al 31.03.2022 ore 18:30
5106,Settime,Asti,3,5.45,550,Dati aggiornati al 31.03.2022 ore 18:30
5107,Soglio,Asti,1,6.85,146,Dati aggiornati al 31.03.2022 ore 18:30
5108,Tigliole,Asti,5,2.91,1718,Dati aggiornati al 31.03.2022 ore 18:30
5109,Tonco,Asti,7,8.65,809,Dati aggiornati al 31.03.2022 ore 18:30
5110,Tonengo,Asti,1,4.22,237,Dati aggiornati al 31.03.2022 ore 18:30
5111,Vaglio Serra,Asti,2,6.97,287,Dati aggiornati al 31.03.2022 ore 18:30
5112,Valfenera,Asti,8,3.32,2410,Dati aggiornati al 31.03.2022 ore 18:30
5113,Vesime,Asti,4,6.58,608,Dati aggiornati al 31.03.2022 ore 18:30
5114,Viale,Asti,0,0.0,,Dati aggiornati al 31.03.2022 ore 18:30
5115,Viarigi,Asti,5,5.69,879,Dati aggiornati al 31.03.2022 ore 18:30
5116,Vigliano D'Asti,Asti,2,2.52,794,Dati aggiornati al 31.03.2022 ore 18:30
5119,Villa San Secondo,Asti,2,5.25,381,Dati aggiornati al 31.03.2022 ore 18:30
5117,Villafranca D'Asti,Asti,17,5.63,3020,Dati aggiornati al 31.03.2022 ore 18:30
5118,Villanova D'Asti,Asti,17,3.0,5667,Dati aggiornati al 31.03.2022 ore 18:30
5120,Vinchio,Asti,5,8.68,576,Dati aggiornati al 31.03.2022 ore 18:30
