Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
4147,Narzole,Cuneo,24,6.86,3499,Dati aggiornati al 29.04.2022 ore 18:30
4148,Neive,Cuneo,23,6.66,3453,Dati aggiornati al 29.04.2022 ore 18:30
4149,Neviglie,Cuneo,2,5.42,369,Dati aggiornati al 29.04.2022 ore 18:30
4150,Niella Belbo,Cuneo,4,11.08,361,Dati aggiornati al 29.04.2022 ore 18:30
4151,Niella Tanaro,Cuneo,15,14.78,1015,Dati aggiornati al 29.04.2022 ore 18:30
4152,Novello,Cuneo,9,9.16,983,Dati aggiornati al 29.04.2022 ore 18:30
4153,Nucetto,Cuneo,1,2.44,410,Dati aggiornati al 29.04.2022 ore 18:30
4154,Oncino,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4155,Ormea,Cuneo,22,13.86,1587,Dati aggiornati al 29.04.2022 ore 18:30
4156,Ostana,Cuneo,1,11.76,85,Dati aggiornati al 29.04.2022 ore 18:30
4157,Paesana,Cuneo,19,7.0,2714,Dati aggiornati al 29.04.2022 ore 18:30
4158,Pagno,Cuneo,4,7.14,560,Dati aggiornati al 29.04.2022 ore 18:30
4159,Pamparato,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4160,Paroldo,Cuneo,1,4.83,207,Dati aggiornati al 29.04.2022 ore 18:30
4161,Perletto,Cuneo,1,3.72,269,Dati aggiornati al 29.04.2022 ore 18:30
4162,Perlo,Cuneo,5,43.86,114,Dati aggiornati al 29.04.2022 ore 18:30
4163,Peveragno,Cuneo,54,9.64,5602,Dati aggiornati al 29.04.2022 ore 18:30
4164,Pezzolo Valle Uzzone,Cuneo,1,2.92,342,Dati aggiornati al 29.04.2022 ore 18:30
4165,Pianfei,Cuneo,23,10.91,2108,Dati aggiornati al 29.04.2022 ore 18:30
4166,Piasco,Cuneo,9,3.29,2736,Dati aggiornati al 29.04.2022 ore 18:30
4167,Pietraporzio,Cuneo,1,13.7,73,Dati aggiornati al 29.04.2022 ore 18:30
4168,Piobesi D'Alba,Cuneo,12,8.86,1354,Dati aggiornati al 29.04.2022 ore 18:30
4169,Piozzo,Cuneo,24,24.49,980,Dati aggiornati al 29.04.2022 ore 18:30
4170,Pocapaglia,Cuneo,18,5.41,3327,Dati aggiornati al 29.04.2022 ore 18:30
