comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Casale Monferrato,006039,Alessandria,75,2.22
Casaleggio Boiro,006038,Alessandria,6,15.71
Casaleggio Novara,003039,Novara,1,1.09
Casalgrasso,004045,Cuneo,3,2.09
Casalino,003040,Novara,7,4.59
Casalnoceto,006040,Alessandria,10,10.22
Casalvolone,003041,Novara,1,1.16
Casanova Elvo,002033,Vercelli,0,0.0
Casapinta,096014,Biella,2,4.77
Casasco,006041,Alessandria,0,0.0
Cascinette D'Ivrea,001061,Torino,7,4.63
Caselette,001062,Torino,10,3.3
Caselle Torinese,001063,Torino,91,6.52
Casorzo,005020,Asti,0,0.0
Cassano Spinola,006191,Alessandria,4,2.22
Cassinasco,005021,Asti,0,0.0
Cassine,006043,Alessandria,2,0.68
Cassinelle,006044,Alessandria,0,0.0
Castagneto Po,001064,Torino,5,2.81
Castagnito,004046,Cuneo,13,5.93
Castagnole Delle Lanze,005022,Asti,12,3.2
Castagnole Monferrato,005023,Asti,2,1.68
Castagnole Piemonte,001065,Torino,15,6.68
Castel Boglione,005024,Asti,1,1.64
Castel Rocchero,005032,Asti,5,12.79
Casteldelfino,004047,Cuneo,0,0.0
Castell'Alfero,005025,Asti,7,2.62
Castellamonte,001066,Torino,102,10.26
Castellania,006045,Alessandria,0,0.0
Castellar Guidobono,006046,Alessandria,0,0.0
Castellazzo Bormida,006047,Alessandria,9,1.99
Castellazzo Novarese,003042,Novara,9,28.21
Castellero,005026,Asti,1,3.45
Castelletto Cervo,096015,Biella,1,1.22
Castelletto D'Erro,006048,Alessandria,0,0.0
Castelletto D'Orba,006049,Alessandria,8,4.08
Castelletto Merli,006050,Alessandria,0,0.0
Castelletto Molina,005027,Asti,2,12.82
Castelletto Monferrato,006051,Alessandria,4,2.66
Castelletto Sopra Ticino,003043,Novara,62,6.25
Castelletto Stura,004049,Cuneo,5,3.62
Castelletto Uzzone,004050,Cuneo,7,22.29
Castellinaldo D'Alba,004051,Cuneo,1,1.08
Castellino Tanaro,004052,Cuneo,0,0.0
Castello Di Annone,005028,Asti,3,1.56
Castelmagno,004053,Cuneo,0,0.0
Castelnuovo Belbo,005029,Asti,6,7.08
Castelnuovo Bormida,006052,Alessandria,2,2.86
Castelnuovo Calcea,005030,Asti,3,4.09
Castelnuovo Di Ceva,004054,Cuneo,0,0.0
Castelnuovo Don Bosco,005031,Asti,11,3.47
Castelnuovo Nigra,001067,Torino,0,0.0
Castelnuovo Scrivia,006053,Alessandria,6,1.17
Castelspina,006054,Alessandria,0,0.0
Castiglione Falletto,004055,Cuneo,2,2.86
Castiglione Tinella,004056,Cuneo,0,0.0
Castiglione Torinese,001068,Torino,40,6.15
Castino,004057,Cuneo,3,6.17
Cavaglia',096016,Biella,22,6.07
Cavaglietto,003044,Novara,5,13.05
Cavaglio D'Agogna,003045,Novara,6,5.12
Cavagnolo,001069,Torino,16,7.77
Cavallerleone,004058,Cuneo,1,1.46
Cavallermaggiore,004059,Cuneo,75,13.81
Cavallirio,003047,Novara,5,3.72
Cavatore,006055,Alessandria,2,7.43
Cavour,001070,Torino,77,14.02
Cella Monte,006056,Alessandria,2,4.01
Cellarengo,005033,Asti,1,1.42
Celle Di Macra,004060,Cuneo,0,0.0
Celle Enomondo,005034,Asti,2,4.19
Cellio Con Breia,002171,Vercelli,5,5.1
Centallo,004061,Cuneo,30,4.27
Ceppo Morelli,103021,Verbano-Cusio-Ossola,1,3.37
Cerano,003049,Novara,29,4.29
Cercenasco,001071,Torino,12,6.63
Ceres,001072,Torino,10,9.57
Cereseto,006057,Alessandria,0,0.0
Ceresole Alba,004062,Cuneo,2,0.97
Ceresole Reale,001073,Torino,1,5.99
Cerreto D'Asti,005035,Asti,0,0.0
Cerreto Grue,006058,Alessandria,1,3.3
Cerretto Langhe,004063,Cuneo,7,16.28
Cerrina Monferrato,006059,Alessandria,2,1.47
Cerrione,096018,Biella,12,4.17
Cerro Tanaro,005036,Asti,0,0.0
Cervasca,004064,Cuneo,28,5.45
Cervatto,002041,Vercelli,0,0.0
Cervere,004065,Cuneo,4,1.77
Cesana Torinese,001074,Torino,3,3.18
Cesara,103022,Verbano-Cusio-Ossola,2,3.37
Cessole,005037,Asti,0,0.0
Ceva,004066,Cuneo,20,3.51
Cherasco,004067,Cuneo,39,4.2
Chialamberto,001075,Torino,0,0.0
Chianocco,001076,Torino,10,6.2
Chiaverano,001077,Torino,8,3.89
Chieri,001078,Torino,114,3.08
Chiesanuova,001079,Torino,3,12.88
Chiomonte,001080,Torino,0,0.0
Chiusa Di Pesio,004068,Cuneo,7,1.92
Chiusa Di San Michele,001081,Torino,0,0.0
Chiusano D'Asti,005038,Asti,0,0.0
Chivasso,001082,Torino,114,4.24
Ciconio,001083,Torino,0,0.0
Cigliano,002042,Vercelli,19,4.29
Ciglie',004069,Cuneo,0,0.0
Cinaglio,005039,Asti,1,2.26
Cintano,001084,Torino,2,7.94
Cinzano,001085,Torino,4,12.12
Cirie',001086,Torino,111,5.98
Cissone,004070,Cuneo,0,0.0
Cisterna D'Asti,005040,Asti,7,5.72
Civiasco,002043,Vercelli,0,0.0
Clavesana,004071,Cuneo,0,0.0
Claviere,001087,Torino,0,0.0
Coassolo Torinese,001088,Torino,3,2.0
Coazze,001089,Torino,11,3.4
Coazzolo,005041,Asti,0,0.0
Cocconato,005042,Asti,3,2.08
Coggiola,096019,Biella,10,5.55
Colazza,003051,Novara,4,8.87
Collegno,001090,Torino,223,4.49
Colleretto Castelnuovo,001091,Torino,4,12.66
Colleretto Giacosa,001092,Torino,0,0.0
Collobiano,002045,Vercelli,2,22.73
Comignago,003052,Novara,3,2.38
Condove,001093,Torino,14,3.05
Coniolo,006060,Alessandria,0,0.0
Conzano,006061,Alessandria,2,2.07
Corio,001094,Torino,31,9.66
Corneliano D'Alba,004072,Cuneo,4,1.86
Corsione,005044,Asti,0,0.0
Cortandone,005045,Asti,0,0.0
Cortanze,005046,Asti,0,0.0
Cortazzone,005047,Asti,1,1.64
Cortemilia,004073,Cuneo,18,7.93
Cortiglione,005048,Asti,9,16.33
